MSOA11CD,MSOA11NM,TCITY15CD,city,FID
E02001399,Liverpool 053,J01000054,Liverpool,1207
E02001348,Liverpool 002,J01000054,Liverpool,1209
E02001400,Liverpool 054,J01000054,Liverpool,1214
E02001349,Liverpool 003,J01000054,Liverpool,1217
E02001401,Liverpool 055,J01000054,Liverpool,1222
E02001350,Liverpool 004,J01000054,Liverpool,1225
E02001402,Liverpool 056,J01000054,Liverpool,1230
E02001351,Liverpool 005,J01000054,Liverpool,1233
E02001403,Liverpool 057,J01000054,Liverpool,1238
E02001352,Liverpool 006,J01000054,Liverpool,1241
E02001353,Liverpool 007,J01000054,Liverpool,1249
E02001405,Liverpool 059,J01000054,Liverpool,1254
E02001354,Liverpool 008,J01000054,Liverpool,1257
E02001355,Liverpool 009,J01000054,Liverpool,1258
E02001356,Liverpool 010,J01000054,Liverpool,1259
E02001357,Liverpool 011,J01000054,Liverpool,1260
E02001358,Liverpool 012,J01000054,Liverpool,1261
E02001359,Liverpool 013,J01000054,Liverpool,1262
E02001360,Liverpool 014,J01000054,Liverpool,1263
E02001361,Liverpool 015,J01000054,Liverpool,1264
E02001362,Liverpool 016,J01000054,Liverpool,1265
E02001363,Liverpool 017,J01000054,Liverpool,1266
E02001364,Liverpool 018,J01000054,Liverpool,1267
E02001365,Liverpool 019,J01000054,Liverpool,1268
E02001366,Liverpool 020,J01000054,Liverpool,1269
E02001367,Liverpool 021,J01000054,Liverpool,1270
E02001368,Liverpool 022,J01000054,Liverpool,1271
E02001369,Liverpool 023,J01000054,Liverpool,1272
E02001370,Liverpool 024,J01000054,Liverpool,1273
E02001371,Liverpool 025,J01000054,Liverpool,1274
E02001372,Liverpool 026,J01000054,Liverpool,1275
E02001373,Liverpool 027,J01000054,Liverpool,1276
E02001374,Liverpool 028,J01000054,Liverpool,1277
E02001375,Liverpool 029,J01000054,Liverpool,1278
E02001376,Liverpool 030,J01000054,Liverpool,1279
E02001377,Liverpool 031,J01000054,Liverpool,1280
E02001378,Liverpool 032,J01000054,Liverpool,1281
E02001380,Liverpool 034,J01000054,Liverpool,1282
E02001381,Liverpool 035,J01000054,Liverpool,1283
E02001382,Liverpool 036,J01000054,Liverpool,1284
E02001383,Liverpool 037,J01000054,Liverpool,1285
E02001384,Liverpool 038,J01000054,Liverpool,1286
E02001385,Liverpool 039,J01000054,Liverpool,1287
E02001386,Liverpool 040,J01000054,Liverpool,1288
E02001387,Liverpool 041,J01000054,Liverpool,1289
E02001388,Liverpool 042,J01000054,Liverpool,1290
E02001389,Liverpool 043,J01000054,Liverpool,1291
E02001390,Liverpool 044,J01000054,Liverpool,1292
E02001391,Liverpool 045,J01000054,Liverpool,1293
E02001392,Liverpool 046,J01000054,Liverpool,1294
E02001393,Liverpool 047,J01000054,Liverpool,1295
E02001394,Liverpool 048,J01000054,Liverpool,1296
E02001395,Liverpool 049,J01000054,Liverpool,1297
E02001396,Liverpool 050,J01000054,Liverpool,1298
E02001397,Liverpool 051,J01000054,Liverpool,1299
E02001398,Liverpool 052,J01000054,Liverpool,1300
E02001332,Knowsley 006,J01000054,Liverpool,1483
E02001334,Knowsley 008,J01000054,Liverpool,1491
E02001336,Knowsley 010,J01000054,Liverpool,1499
E02001337,Knowsley 011,J01000054,Liverpool,1503
E02001338,Knowsley 012,J01000054,Liverpool,1507
E02001340,Knowsley 014,J01000054,Liverpool,1509
E02001341,Knowsley 015,J01000054,Liverpool,1510
E02001342,Knowsley 016,J01000054,Liverpool,1511
E02001344,Knowsley 018,J01000054,Liverpool,1512
E02001345,Knowsley 019,J01000054,Liverpool,1513
E02001346,Knowsley 020,J01000054,Liverpool,1514
E02001347,Liverpool 001,J01000054,Liverpool,1515
E02006932,Liverpool 060,J01000054,Liverpool,6687
E02006933,Liverpool 061,J01000054,Liverpool,6692
E02006934,Liverpool 062,J01000054,Liverpool,6697
E02001343,Knowsley 017,J01000054,Liverpool,7061
